"Gen_sp","Habitat","Plot","Flower_density","Flower_species","Start_time","Finish_time","Date","Site","Round","Highest_temp","Lowest_temperature"
NA,"Corridor",3,"1-5%",NA,"12:35","12:55","11/07/2014","Fresta",1,21,9
NA,"Non_flowering_crop_edge",4,"1-5%",NA,"13:40","13:55","11/07/2014","Fresta",1,21,9
"Bombus_spp","Non_flowering_crop_edge",5,"1-5%","Satureja_vulgaris","14:00","14:18","11/07/2014","Fresta",1,21,9
"Bombus_barbutellus","Non_flowering_crop_edge",5,"1-5%","Satureja_vulgaris","14:00","14:18","11/07/2014","Fresta",1,21,9
"Bombus_norvegicus","Forest",6,"1-5%","Carduus_crispus","14:30","14:50","11/07/2014","Fresta",1,21,9
"Bombus_quadricolor","Forest",6,"1-5%","Carduus_crispus","14:30","14:50","11/07/2014","Fresta",1,21,9
"Bombus_spp","Forest",6,"1-5%","Trifolium_pratense","14:30","14:50","11/07/2014","Fresta",1,21,9
"Bombus_pascuorum","Maintained_roadside",7,"6-10%","Trifolium_pratense","15:08","15:28","11/07/2014","Fresta",1,21,9
"Bombus_pascuorum","Maintained_roadside",7,"6-10%","Trifolium_pratense","15:08","15:28","11/07/2014","Fresta",1,21,9
"Bombus_spp","Maintained_roadside",7,"6-10%","Trifolium_pratense","15:08","15:28","11/07/2014","Fresta",1,21,9
"Bombus_pascuorum","Maintained_roadside",8,"1-5%","Trifolium_pratense","15:35","15:50","11/07/2014","Fresta",1,21,9
"Bombus_terrestris","Corridor",9,"61%_plus","Filipendula_ulmaria","16:35","16:55","11/07/2014","Fresta",1,21,9
"Bombus_terrestris","Non_flowering_crop_edge",10,"21-40%","Trifolium_pratense","17:00","17:25","11/07/2014","Fresta",1,21,9
"Bombus_terrestris","Non_flowering_crop_edge",10,"21-40%","Trifolium_pratense","17:00","17:25","11/07/2014","Fresta",1,21,9
"Bombus_terrestris","Non_flowering_crop_edge",10,"21-40%","Trifolium_pratense","17:00","17:25","11/07/2014","Fresta",1,21,9
"Bombus_terrestris","Non_flowering_crop_edge",10,"21-40%","Trifolium_pratense","17:00","17:25","11/07/2014","Fresta",1,21,9
"Bombus_terrestris","Non_flowering_crop_edge",10,"21-40%","Trifolium_pratense","17:00","17:25","11/07/2014","Fresta",1,21,9
"Bombus_pascuorum","Non_flowering_crop_edge",1,"21-40%","Trifolium_pratense","10:07","10:35","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Non_flowering_crop_edge",1,"21-40%","Trifolium_pratense","10:07","10:35","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Non_flowering_crop_edge",1,"21-40%","Trifolium_pratense","10:07","10:35","12/07/2014","Angeby",1,22,8
"Bombus_barbutellus","Non_flowering_crop_edge",1,"21-40%","Trifolium_pratense","10:07","10:35","12/07/2014","Angeby",1,22,8
"Bombus_ruderarius","Non_flowering_crop_edge",1,"21-40%","Trifolium_pratense","10:07","10:35","12/07/2014","Angeby",1,22,8
"Bombus_quadricolor","Semi_natural_grasslands",2,"41-60%","Carduus_crispus","10:40","11:00","12/07/2014","Angeby",1,22,8
"Bombus_quadricolor","Semi_natural_grasslands",2,"41-60%","Carduus_crispus","10:40","11:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Non_flowering_crop_edge",3,"21-40%","Trifolium_pratense","11:07","11:30","12/07/2014","Angeby",1,22,8
"Bombus_hypnorum","Non_flowering_crop_edge",3,"21-40%","Trifolium_pratense","11:07","11:30","12/07/2014","Angeby",1,22,8
"Bombus_soroeensis","Non_flowering_crop_edge",3,"21-40%","Campanulaceae_rapunculoides","11:07","11:30","12/07/2014","Angeby",1,22,8
"Bombus_soroeensis","Forest",4,"1-5%","Trifolium_pratense","11:45","12:05","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Campanulaceae_rapunculoides","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Campanulaceae_rapunculoides","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Campanulaceae_rapunculoides","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Campanulaceae_rapunculoides","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Campanulaceae_rapunculoides","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Campanulaceae_rapunculoides","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Campanulaceae_rapunculoides","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Campanulaceae_rapunculoides","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Campanulaceae_rapunculoides","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Campanulaceae_rapunculoides","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Campanulaceae_rapunculoides","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Campanulaceae_rapunculoides","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_terrestris","Maintained_roadside",5,"41-60%","Centaurea_jacea","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_bohemicus","Maintained_roadside",5,"41-60%","Centaurea_jacea","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_bohemicus","Maintained_roadside",5,"41-60%","Centaurea_jacea","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_bohemicus","Maintained_roadside",5,"41-60%","Centaurea_jacea","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_bohemicus","Maintained_roadside",5,"41-60%","Centaurea_jacea","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_bohemicus","Maintained_roadside",5,"41-60%","Centaurea_jacea","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_bohemicus","Maintained_roadside",5,"41-60%","Centaurea_jacea","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_soroeensis","Maintained_roadside",5,"41-60%","Centaurea_jacea","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_humilis","Maintained_roadside",5,"41-60%","Centaurea_jacea","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_sylvestris","Maintained_roadside",5,"41-60%","Centaurea_jacea","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_bohemicus","Maintained_roadside",5,"41-60%","Centaurea_jacea","12:25","13:00","12/07/2014","Angeby",1,22,8
"Bombus_ruderarius","Semi_natural_grasslands",6,"61%_plus","Carduus_crispus","13:40","14:10","12/07/2014","Angeby",1,22,8
"Bombus_ruderarius","Semi_natural_grasslands",6,"61%_plus","Carduus_crispus","13:40","14:10","12/07/2014","Angeby",1,22,8
"Bombus_ruderarius","Semi_natural_grasslands",6,"61%_plus","Carduus_crispus","13:40","14:10","12/07/2014","Angeby",1,22,8
"Bombus_pascuorum","Semi_natural_grasslands",6,"61%_plus","Carduus_crispus","13:40","14:10","12/07/2014","Angeby",1,22,8
