"Site","Corridor","landscape"
"Gavsta","Yes",14.9054474397562
"Stavby","Yes",7.78479649522342
"Fresta","Yes",38.5805309948046
"Angeby","No",27.3980203317478
"Forsby","No",10.9591894685291
"Kacttgrind","No",8.34404001384974
"Losodra","Yes",78.8147897671442
"Ingvasta","No",11.5387972125318
"Golvsta","No",7.94160454091616
"Lanarr","Yes",66.074941101484
